Thème,Carte
Bien-être intérieur,Prendre trois grandes respirations conscientes avant de commencer la journée.
Bien-être intérieur,Noter trois choses pour lesquelles on est reconnaissante aujourd’hui.
Bien-être intérieur,Écrire une phrase d’affirmation et la relire plusieurs fois dans la journée.
Bien-être intérieur,Prendre cinq minutes pour fermer les yeux et écouter son corps.
Bien-être intérieur,Observer une pensée négative et la reformuler positivement.
Bien-être intérieur,Se donner la permission de ralentir et d’être imparfaite.
Bien-être intérieur,Faire un compliment sincère à soi-même devant le miroir.
Bien-être intérieur,Boire un verre d’eau en pleine conscience.
Bien-être intérieur,Laisser son téléphone dans une autre pièce pendant 30 minutes.
Bien-être intérieur,"Remplacer un ""je dois"" par un ""j’ai envie de""."
Énergie et mouvement,"Marcher 10 minutes sans distraction, juste pour bouger et observer."
Énergie et mouvement,Faire une posture de yoga ou un étirement qui fait du bien.
Énergie et mouvement,Danser sur une chanson qui donne le sourire.
Énergie et mouvement,Se tenir droite avec confiance pendant une conversation.
Énergie et mouvement,Sauter ou bouger son corps pour secouer les tensions.
Énergie et mouvement,Essayer un exercice de respiration dynamisante (comme la respiration du feu).
Énergie et mouvement,"Prendre l’air, même juste quelques instants."
Énergie et mouvement,Faire un scan corporel et détendre consciemment les tensions.
Énergie et mouvement,Étirer ses bras vers le ciel et s’ouvrir à la journée.
Énergie et mouvement,Poser les pieds nus au sol pour se reconnecter.
Relation à soi et aux autres,Envoyer un message à quelqu’un qu’on apprécie sans raison particulière.
Relation à soi et aux autres,Prendre un moment pour écouter quelqu’un sans interrompre ni juger.
Relation à soi et aux autres,"Noter une petite victoire du jour, même minuscule."
Relation à soi et aux autres,Dire non à quelque chose qui ne fait pas de bien.
Relation à soi et aux autres,Prendre le temps de savourer une boisson chaude en silence.
Relation à soi et aux autres,Poser une main sur son cœur et se remercier pour quelque chose.
Relation à soi et aux autres,Écrire une lettre d’encouragement à soi-même pour plus tard.
Relation à soi et aux autres,Laisser un mot gentil (même anonyme) à quelqu’un.
Relation à soi et aux autres,Ne pas se plaindre une seule fois aujourd’hui.
Relation à soi et aux autres,Offrir un sourire sincère à une personne croisée dans la rue.
Clarté et focus,"Faire une tâche en pleine conscience, sans distraction."
Clarté et focus,Ranger un petit espace pour alléger son esprit.
Clarté et focus,Écrire la première étape d’un projet qu’on repousse depuis trop longtemps.
Clarté et focus,Fermer ses yeux et imaginer la meilleure version de sa journée.
Clarté et focus,Supprimer un élément superflu de sa to-do list.
Clarté et focus,Choisir une priorité unique pour la journée et s’y tenir.
Clarté et focus,Prendre 5 minutes pour noter ses pensées et libérer son esprit.
Clarté et focus,Laisser son téléphone en mode avion pendant une heure.
Clarté et focus,Éliminer un objet inutile de son espace de vie.
Clarté et focus,"Se poser la question : ""Est-ce que cette action me rapproche de ce que je veux ?"""
Joie et créativité,Écouter une chanson qui booste le moral.
Joie et créativité,"Noter une idée créative, même si elle semble folle."
Joie et créativité,Tester une nouvelle façon de faire une chose du quotidien.
Joie et créativité,Observer un détail du quotidien comme si c’était la première fois.
Joie et créativité,"Gribouiller ou dessiner quelque chose, juste pour le plaisir."
Joie et créativité,Chanter ou fredonner sans se soucier du résultat.
Joie et créativité,Lire un passage inspirant d’un livre au hasard.
Joie et créativité,Prendre une photo de quelque chose qui nous émerveille.
Joie et créativité,"Écrire une ligne de gratitude en rimes, juste pour s’amuser."
Joie et créativité,Imaginer une scène idéale et se laisser rêver sans limite.
Joie et créativité,"Faire quelque chose d’inhabituel, même minime, pour casser la routine."
Joie et créativité,"Rire intentionnellement, même juste pour voir ce que ça fait."
